Date,Location,Latitude,Longitude,Number Killed,Number Injured
25/03/2006,"2112 East Republican Street, Seattle, WA 98112",47.6233351,-122.3040591,6,2
12/02/2007,"602 South 700 East Salt Lake City, UT, 84102",40.7575402,-111.8729324,5,4
16/04/2007,"494 Old Turner St, Blacksburg, VA",37.23101237,-80.42184477,32,26
5/12/2007,"1000 California St, Omaha, NE 68114",41.2641724,-96.0674777,8,5
9/12/2007,"12750 W 63rd Ave, Arvada, CO 80004",39.8105978,-105.1418119,4,5
7/02/2008,"139 S Kirkwood Rd, Kirkwood, MO 63122",38.58009675,-90.40691527,6,1
14/02/2008,"Cole Hall, DeKalb, IL 60115",41.93430315,-88.76881484,5,16
18/03/2008,"1500 Black Road, Santa Maria, CA 93458",34.934842,-120.489826,4,0
25/06/2008,"390 Community Dr Henderson, KY 42420",37.80504332,-87.64182066,5,1
29/03/2009,"801 Pinehurst Ave, Carthage, NC 28327",35.33279223,-79.41600803,8,3
3/04/2009,"131 Front St, Binghampton, NY 13905",42.09987,-75.91792,13,4
1/11/2009,"729 Worth St, Mt Airy, NC 27030",36.48941808,-80.60908984,4,0
5/11/2009,"Building #121 761st Tank Battalion Ave, Killeen, TX 76544",31.13508,-97.76387,13,32
29/11/2009,"11401 Steele St. S., Tacoma, WA 98444",47.165495,-122.466446,4,0
6/06/2010,"495 E. 49th Street, Hialeah, FL 33013",25.8675345,-80.2728547,4,3
3/08/2010,"131 Chapel Road Manchester, CT 06042",41.7979647,-72.569984,8,2
14/08/2010,"268 Main St, Buffalo, NY 14202",42.881575,-78.8759315,4,4
8/01/2011,"7100 N Oracle Road, Tucson, AZ 85704",32.2988953,-110.9785085,6,13
7/08/2011,"804 Minota Ave Akron, OH 44306-3420",41.04052391,-81.49767821,7,1
6/09/2011,"3883 S Carson St, Carson City, NV 89701",39.13135615,-119.7695578,4,7
2/04/2012,"7900 Oakport St, Oakland, CA",37.75259995,-122.2100651,7,3
30/05/2012,"5828 Roosevelt Way NE, Seattle, WA 98105",47.67147225,-122.3171255,5,1
20/07/2012,"14300 E Alameda Ave, Aurora, CO 80012",39.7057703,-104.8206685,12,70
5/08/2012,"7512 South Howell Ave, Oak Creek, WI 53154",42.9080027,-87.91108847,6,3
14/12/2012,"12 Dickenson Dr, Sandy Hook, CT 06482",41,-73,27,1
13/03/2013,"17 S Main St, Herkimer, NY 13350",43.02522772,-74.98568801,4,2
21/04/2013,"33311 18th Ln S, Federal Way, WA 98003",47.3025613,-122.3106898,4,0
26/07/2013,"1485 W. 46th St., Hialeah, FL 33012",25.86428945,-80.31265334,6,0
16/09/2013,"601 M Street SE, Washington, DC 20003",38.87639825,-76.99832116,12,8
20/02/2014,"300 W 1st St, Alturas, CA 96101",41.4839254,-120.5452424,4,2
23/05/2014,"839 Embarcadero del Norte, Isla Vista, CA 93117",34.41422935,-119.8556004,6,14
24/10/2014,"5611 108th St NE, Marysville, WA 98271",48.09689825,-122.1563926,4,1
17/06/2015,"110 Calhoun St, Charleston, SC 29401",32.78751105,-79.93311457,9,0
16/07/2015,"4051 Amnicola Hwy, Chattanooga, TN 37406",35.0900619,-85.259393,5,2
2/12/2015,"1365 S Waterman Ave, San Bernardino, CA 92408",34.0941469,-117.2787467,14,22
2/12/2015,"1365 S Waterman Ave, San Bernardino, CA 92408",34.0941469,-117.2787467,14,22
9/03/2016,"1304 Franklin Ave, Wilkinsburg, PA 15221",40.4381875,-79.87305189,5,3
12/06/2016,"1912 South Orange Ave, Orlando, FL 32806",28.52003106,-81.37645681,49,53
7/07/2016,"801 Main St, Dallas, TX 75202",32.7797819,-96.80550117,5,7
23/09/2016,"201 Cascade Mall Dr., Burlington, WA 98233",48.4619374,-122.339259,5,0
6/01/2017,"100 Terminal Dr, Fort Lauderdale, FL 33315",26.072017,-80.15099673,5,43
6/02/2017,"303 11th St, Yazoo City, MS 39194",32.86228568,-90.40393019,4,0
22/03/2017,"1133 East Grand Ave, Rothschild, WI 54474",44.8994728,-89.6093073,4,0
1/10/2017,"3950 S Las Vegas Blvd, Las Vegas, NV 89119",36.09080055,-115.1747491,58,887
5/11/2017,"216 4th St, Sutherland Springs, TX 78161",29.2747387,-98.059153,25,20
14/02/2018,"5901 Pine Island Rd, Parkland, FL 33076",26.30445965,-80.26948558,17,17
18/05/2018,"16000 Hwy 6, Santa Fe, TX 77517",29.3920192,-95.14122048,10,13
27/10/2018,"5898 Wilkins Ave, Pittsburgh, PA 15217",40.44356065,-79.92087532,11,6
7/11/2018,"99 Rolling Oaks Dr., Thousand Oaks, CA 91361",34.1765444,-118.874917,12,21
15/02/2019,"401 S Highland Ave, Aurora, IL 60506",41.753911,-88.330926,5,7
31/05/2019,"Municipal Center Building 10, 2425 Nimmo Pkwy, Virginia Beach, VA 23456",36.75422,-76.06007,12,4
3/08/2019,"7101 Gateway Blvd W, El Paso, TX 79925",31.7772544,-106.3844883,23,26
4/08/2019,"430 E 5th St, Dayton, OH 45402",39.75710527,-84.18484194,9,37
31/08/2019,"42nd Street, Odessa, TX",31.8913168,-102.3440377,7,23
10/12/2019,"223 Martin Luther King Dr, Jersey City, NJ 07305",40.710386,-74.07961,4,3
10/12/2019,"224 Martin Luther King Dr, Jersey City, NJ 07305",40.710386,-74.07961,4,3
26/02/2020,"4115 W. State Street, Milwaukee, WI 53208",43.0418943,-87.96466439,5,0
15/03/2020,"2885 E Chestnut Expressway, Springfield, MO, 65802",37.2101028,-93.2367553,4,3
16/03/2021,"1916 Piedmont Rd NE, Atlanta, GA 30324",33.8095812,-84.3661861,8,1
22/03/2021,"3600 Table Mesa Dr, Boulder, CO 80305",39.9835735,-105.251237,10,1
31/03/2021,"202 West Lincoln Avenue Orange, CA 92865",33.83541736,-117.9169988,4,1
15/04/2021,"8951 Mirabel Rd, Indianapolis, IN 46241",39.6812364,-86.3223538,8,7
26/05/2021,"101 W Younger Ave, San Jose, CA 95110",37.35472525,-121.9060106,9,0
30/11/2021,"745 N Oxford Rd, Oxford, MI 48371",42.83813575,-83.26143847,4,7
14/05/2022,"1275 Jefferson Ave, Buffalo, NY 14208",42.90985275,-78.85262216,10,3
