Date,Weapon Type,Purchase Type
2000,Handgun ,Legal
2000,Shotgun ,Legal
2000,Rifle ,Legal
2000,Handgun ,Legal
2000,Handgun ,Legal
2000,Handgun ,Legal
2000,Assault weapon ,Illegal
2000,Handgun ,Legal
2000,Handgun ,Illegal
2000,Handgun ,Illegal
2000,Handgun ,Illegal
2000,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Shotgun ,Legal
2010,Handgun ,Illegal
2010,Shotgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Shotgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Rifle ,Illegal
2010,Shotgun ,Illegal
2010,Shotgun ,Illegal
2010,Handgun ,Legal
2010,Shotgun ,Illegal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2010,Shotgun ,Legal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Assault weapon ,Legal
2010,Shotgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Rifle ,Illegal
2010,Handgun ,Legal
2010,Shotgun ,Illegal
2010,Assault weapon ,Illegal
2010,Assault weapon ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
1900,Handgun ,Illegal
2010,Handgun ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Rifle ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Rifle ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Rifle ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Handgun ,Legal
2010,Handgun ,Illegal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Assault weapon ,Illegal
2010,Assault weapon ,Illegal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Rifle ,Illegal
2010,Assault weapon ,Legal
2010,Handgun ,Illegal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Shotgun ,Illegal
2010,Handgun ,Illegal
2010,Shotgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Shotgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2010,Handgun ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Legal
2010,Shotgun ,Legal
2010,Assault weapon ,Legal
2010,Assault weapon ,Illegal
2010,Shotgun ,Legal
2010,Handgun ,Illegal
2010,Handgun ,Illegal
2010,Handgun ,Legal
2020,Handgun ,Legal
2020,Handgun ,Legal
2020,Handgun ,Legal
2020,Assault weapon ,Legal
2020,Handgun ,Legal
2020,Handgun ,Illegal
2020,Assault weapon ,Legal
2020,Handgun ,Illegal
2020,Assault weapon ,Legal
2020,Assault weapon ,Legal
2020,Handgun ,Legal
2020,Handgun ,Legal
2020,Handgun ,Legal
2020,Handgun ,Illegal
2020,Assault weapon ,Legal
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
